instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,next_slide,0,0,0,0,0,0,1,0,0,0,0.5988850891590118,0.9601452946662903,0.7255097428957621,0.9585150877634684,0.8254846036434174,0.9783855676651001,1,0,0.22659951448440552,0.0
2,next_slide,0,0,0,0,0,1,1,0,0,0,0.5206434726715088,0.9483142495155334,0.6549153526624044,0.9468070864677429,0.7796934247016907,0.978433758020401,1,0,0.2590499520301819,0.0
3,next_slide,0,0,0,0,0,0,1,0,0,0,0.5318582952022552,0.9725777506828308,0.6921776731808981,0.9689038395881653,0.8117766678333282,0.9859925210475922,1,0,0.279918372631073,0.0
4,next_slide,1,0,0,0,0,0,1,0,0,0,0.5720856785774231,0.9566616415977478,0.7214541435241699,0.9312160213788351,0.8342610001564026,0.9805305302143097,1,0,0.2621753215789795,0.0
5,next_slide,0,0,0,0,0,0,1,0,0,0,0.5685650706291199,0.938284158706665,0.7312442859013876,0.9531269868214926,0.8281858265399933,0.9627600908279419,1,0,0.2596207559108734,0.0
6,previous_slide,0,0,0,0,0,0,1,0,0,0,0.8554179668426514,0.7805858850479126,0.6471274892489115,0.7817147572835287,0.5229478180408478,0.8009307682514191,1,0,-0.3324701488018036,0.0
7,previous_slide,0,0,0,0,0,0,1,0,0,0,0.8215436637401581,0.7810148596763611,0.6024554173151652,0.8119036753972372,0.5259478688240051,0.8130366206169128,1,0,-0.29559579491615295,0.0
8,previous_slide,0,0,0,0,0,0,1,0,0,0,0.8146830797195435,0.7953703105449677,0.6412054300308228,0.8075518608093262,0.5229234397411346,0.8329678773880005,1,0,-0.2917596399784088,0.0
9,previous_slide,0,0,0,0,0,0,1,0,0,0,0.8150072395801544,0.8152193129062653,0.6627359588940939,0.8219680190086365,0.49985677003860474,0.8417753577232361,1,0,-0.3151504695415497,0.0
10,previous_slide,1,0,0,0,0,0,1,0,0,0,0.800582617521286,0.8113947510719299,0.6370791594187418,0.8169638514518738,0.49011918902397156,0.8021532595157623,1,0,-0.31046342849731445,0.0
11,zoom_in,0,0,0,0,0,1,1,0,0,0,0.49319790303707123,0.9050245881080627,0.6458430091540018,0.8695423205693563,0.7550286948680878,0.8734735548496246,1,0,0.26183079183101654,0.0
12,zoom_in,0,0,0,0,0,1,1,0,0,0,0.5212736129760742,0.9039072394371033,0.6803015073140463,0.878877600034078,0.7637408971786499,0.8890486657619476,1,0,0.24246728420257568,0.0
13,zoom_in,0,0,0,0,0,1,1,0,0,0,0.5338113903999329,0.9256018102169037,0.6521502534548441,0.8907608985900879,0.7629430294036865,0.9057363867759705,1,0,0.22913163900375366,0.0
14,zoom_in,1,0,0,0,0,1,1,0,0,0,0.5405364036560059,0.9291490316390991,0.6559563279151917,0.8891218701998392,0.7689013481140137,0.9099088907241821,1,0,0.2283649444580078,0.0
15,zoom_in,0,0,0,0,0,1,1,0,0,0,0.5489607751369476,0.9268882870674133,0.673798680305481,0.9092673858006796,0.812439501285553,0.9092301428318024,1,0,0.26347872614860535,0.0
16,zoom_out,0,0,0,0,0,1,1,0,0,0,0.824925422668457,0.9097839295864105,0.6612574656804403,0.9000806411107382,0.5493394732475281,0.918960303068161,1,0,-0.27558594942092896,0.0
17,zoom_out,0,0,0,0,0,1,1,0,0,0,0.8076378107070923,0.89885613322258,0.6022871732711792,0.8982998331387838,0.5347937047481537,0.9051556885242462,1,0,-0.2728441059589386,0.0
18,zoom_out,0,0,0,0,0,1,1,0,0,0,0.8085453808307648,0.8867444097995758,0.5966419180234274,0.8951327800750732,0.5355697572231293,0.9228982031345367,1,0,-0.2729756236076355,0.0
19,zoom_out,0,0,0,0,0,1,1,0,0,0,0.8065894544124603,0.9084475934505463,0.6625614364941915,0.9115696748097738,0.4796517640352249,0.931061863899231,1,0,-0.3269376903772354,0.0
20,zoom_out,1,0,0,0,0,1,1,0,0,0,0.7689331471920013,0.8868032991886139,0.6218940814336141,0.881436804930369,0.49368616938591003,0.8879076540470123,1,0,-0.2752469778060913,0.0
